Index,Variant,"Region, subregion, country or area *",Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Estimates,WORLD,900,World,0,19.49690664,19.86282053,20.22277144,20.58210672,20.94521097,21.31550593,21.69541069,22.08638026,22.48901692,22.90325168,23.32889436,23.76622266,24.21649122,24.68215585,25.16624669,25.67053764,26.19584326,26.74042995,27.30025069,27.86969675,28.44432789,29.02331674,29.60666835,30.19185996,30.77615782,31.35793932,31.93587789,32.51114715,33.08786603,33.67184817,34.26755026,34.87475074,35.49268772,36.12440514,36.77349207,37.44154851,38.1306373,38.83746454,39.55159416,40.25889368,40.94908379,41.61827934,42.26881277,42.90433547,43.53121154,44.15431858,44.77447775,45.39059919,46.00360528,46.61427867,47.22349015,47.83176349,48.44014379,49.0505636,49.66530553,50.28599173,50.91331464,51.5469235,52.18601535,52.8292295,53.47535142,54.12388682,54.77444545,55.42592876,56.07706334,56.72664129,57.37405741,58.01849106,58.65827612,59.29148809,59.91665535
18,Estimates,Africa,903,Region,1840,7.683163836,7.836079596,7.996920989,8.165425271,8.341425552,8.52485215,8.715732081,8.914190714,9.120434467,9.334735294,9.557358807,9.788510481,10.02825757,10.27652533,10.53314836,10.79810109,11.07161591,11.35407838,11.6458025,11.94714906,12.25855696,12.58018939,12.9125592,13.25681535,13.61438841,13.98637171,14.37323066,14.77494941,15.1914662,15.62250562,16.06781221,16.52711668,17.00033725,17.48756572,17.9889537,18.50435913,19.03393628,19.57686439,20.13084606,20.69286814,21.26077505,21.83396988,22.41302123,22.99845759,23.59127312,24.19247421,24.80265707,25.42246883,26.05317831,26.69628049,27.35331473,28.02513016,28.71305403,29.41966359,30.14801284,30.90054715,31.67818442,32.48132129,33.31110015,34.16855403,35.05420834,35.96844344,36.91059346,37.87867368,38.86990426,39.88193537,40.91408737,41.96580152,43.03495393,44.11909588,45.2164181
19,Estimates,Asia,935,Region,1840,45.27126175,46.26729645,47.20225496,48.1064888,49.00465725,49.91574711,50.85281366,51.82322825,52.82937088,53.86977825,54.94260513,56.04931879,57.19792817,58.40436664,59.68856997,61.06294103,62.53323393,64.09031236,65.71267874,67.37001148,69.03848332,70.71315769,72.39476446,74.07233142,75.7345116,77.37444964,78.98604449,80.57335668,82.15303213,83.74883048,85.37902075,87.04325953,88.73864013,90.47702129,92.27225111,94.13079265,96.06069132,98.05024169,100.0614552,102.0427468,103.9566047,105.7884019,107.5467263,109.2460002,110.9109064,112.5599286,114.1957364,115.8127653,117.4120306,118.9933467,120.5570706,122.1045138,123.6381937,125.1609008,126.6757929,128.1851472,129.6897789,131.189307,132.6831035,134.1699236,135.6483733,137.1176385,138.5764848,140.0223307,141.4520343,142.8626501,144.2525347,145.6198548,146.9612316,148.2728662,149.5516131
20,Estimates,Europe,908,Region,1840,24.81731839,25.04300935,25.28560616,25.53804019,25.79499983,26.05291941,26.31009491,26.56656343,26.82385549,27.08452403,27.35078848,27.62307654,27.8987559,28.1715813,28.43325102,28.67793363,28.90286123,29.10993472,29.30377472,29.49142102,29.67799141,29.86487877,30.0504413,30.23316008,30.41044871,30.58046159,30.74320007,30.89959928,31.04987428,31.19440427,31.33361877,31.46675396,31.59399958,31.71780434,31.84145775,31.96690241,32.09511356,32.22419258,32.34966791,32.46535012,32.56659905,32.65322451,32.72614872,32.78337807,32.82279831,32.84380934,32.84497745,32.82912623,32.8052913,32.78557591,32.77891611,32.78857995,32.81298159,32.85012561,32.89600772,32.94742164,33.00429888,33.06717271,33.13394166,33.20201999,33.2693168,33.33426613,33.39636359,33.45584924,33.51351406,33.56956572,33.62422204,33.67599399,33.7213829,33.75587047,33.77634628
21,Estimates,Latin America and the Caribbean,904,Region,1840,8.382603228,8.604058137,8.834225871,9.072214845,9.317448874,9.569664991,9.828929584,10.09563427,10.37041383,10.65405101,10.94718922,11.24999088,11.56186202,11.88132119,12.2063546,12.53543004,12.86802337,13.2042531,13.54401968,13.88742544,14.23457666,14.58524784,14.93935174,15.29731728,15.65976772,16.02715529,16.3993224,16.77609561,17.15783049,17.54496827,17.93764176,18.3359321,18.73918963,19.1458913,19.55403572,19.96205655,20.36920575,20.77540999,21.18062368,21.58504932,21.98875219,22.39126868,22.79207663,23.19110498,23.58838562,23.98375532,24.37730247,24.76846092,25.15571275,25.53708605,25.91122651,26.27751549,26.63643479,26.98910459,27.33723388,27.68211715,28.02392173,28.36242114,28.69812027,29.03153968,29.36297056,29.69278967,30.02074179,30.34570087,30.66609517,30.98078418,31.28915586,31.59147821,31.88858635,32.18175545,32.47180275
22,Estimates,Northern America,905,Region,1840,9.254008008,9.383432252,9.531510868,9.694214134,9.867836589,10.04899323,10.23462807,10.42200448,10.6087167,10.79268505,10.97216897,11.14577491,11.3124613,11.47155149,11.62271213,11.76593188,11.90062477,12.02720353,12.14801364,12.26629029,12.38452014,12.50363426,12.62351807,12.74433579,12.865924,12.98820025,13.11157951,13.23647884,13.36276562,13.49015069,13.61847326,13.74777923,13.87833582,14.01045918,14.14455587,14.28095017,14.42008427,14.56206123,14.70648393,14.85273504,15.00055496,15.14891457,15.29835419,15.45198197,15.61401355,15.78698797,15.97277685,16.16919582,16.36980719,16.56569651,16.75061549,16.92160296,17.08083618,17.23344764,17.38715455,17.54734667,17.71559952,17.88947976,18.0655621,18.23872004,18.40519407,18.56409354,18.71647784,18.86288057,19.00443467,19.14205197,19.27574463,19.40536376,19.5315588,19.65513761,19.7767729
23,Estimates,Oceania,909,Region,1840,1.529011508,1.563162732,1.595786936,1.628194677,1.661375297,1.69595921,1.732198938,1.769994203,1.808942362,1.848441517,1.887905204,1.92706912,1.966208879,2.0062595,2.048513632,2.09376984,2.142412855,2.193783391,2.246386833,2.298147638,2.347530655,2.394190039,2.438483891,2.480431063,2.520245898,2.558225102,2.594175546,2.628351162,2.662125786,2.697297578,2.735190409,2.776303311,2.82033121,2.866783677,2.914786495,2.963666947,3.013348204,3.063906859,3.114948636,3.166010327,3.216735129,3.266997429,3.316807479,3.366091633,3.414850244,3.463119958,3.511060089,3.558830419,3.606609234,3.654553489,3.702967668,3.751570384,3.800748251,3.852184185,3.908080165,3.969878253,4.038323753,4.112542332,4.190341085,4.268580539,4.344929334,4.418606227,4.49006217,4.559703575,4.628388044,4.69673963,4.764722982,4.831988721,4.898488062,4.964148538,5.028929495
25,Estimates,SUB-SAHARAN AFRICA,947,SDG region,1828,8.181643653,8.335499151,8.497259977,8.666476614,8.842887578,9.026423854,9.217216891,9.415595453,9.622047768,9.837184193,10.061591,10.29569219,10.53960012,10.79308598,11.05571279,11.3273201,11.60799893,11.89839258,12.19953747,12.51275853,12.83914092,13.1791046,13.53282657,13.90075071,14.2832845,14.68074005,15.09352631,15.52174052,15.96491773,16.42233212,16.89350287,17.3779296,17.87586483,18.38846386,18.91733087,19.46341217,20.02755226,20.60884209,21.20438488,21.81017473,22.42350641,23.04354419,23.67163726,24.31000875,24.96191712,25.62998218,26.31557516,27.01890987,27.74017543,28.47917742,29.23626037,30.01169498,30.80725064,31.62650595,32.47399546,33.3530592,34.26513814,35.20980041,36.18610757,37.19223368,38.22670728,39.28922023,40.37986078,41.49788223,42.64240653,43.81257529,45.00807179,46.2282144,47.47132821,48.73537799,50.01889823
26,Estimates,Eastern Africa,910,Subregion,947,9.920455708,10.13916476,10.36500168,10.5989763,10.84200214,11.09493185,11.3585137,11.63345274,11.92035774,12.2197664,12.53217124,12.85803362,13.19776298,13.55178527,13.92047755,14.30413677,14.70335311,15.1183193,15.54838802,15.99255319,16.45030038,16.9214847,17.40697996,17.90841658,18.42799106,18.96740583,19.52753994,20.10838153,20.70959944,21.33044708,21.97053328,22.62815066,23.30366532,24.00099073,24.72548047,25.47996725,26.26890085,27.08869944,27.92464877,28.7566524,29.57159219,30.36273067,31.13789329,31.91644593,32.72584991,33.58597565,34.50450655,35.47600069,36.49129121,37.53550534,38.59822073,39.67748072,40.77850452,41.90648492,43.06918617,44.27232707,45.51716099,46.80218499,48.12699531,49.4904074,50.89137259,52.32968479,53.80522404,55.31693205,56.86345556,58.44345371,60.05657616,61.70186438,63.37665724,65.077679,66.80256055
27,Estimates,Burundi,108,Country/Area,910,89.91148754,91.91752336,93.69291277,95.36950935,97.04797508,98.79867601,100.6586059,102.6332555,104.7021417,106.8225078,108.9534657,111.0762461,113.2133956,115.4367601,117.8462617,120.4975857,123.4616822,126.6828271,129.942757,132.9403816,135.4778037,137.4610592,139.005257,140.3862928,141.9948598,144.1152259,146.8407321,150.0952492,153.7875389,157.758528,161.8884735,166.1417445,170.5501168,175.1380062,179.9492212,185.0012461,190.2938084,195.7610202,201.2734813,206.6615654,211.7974688,216.702609,221.400662,225.780919,229.7104361,233.1403427,235.9855919,238.4007009,240.8708723,244.0471963,248.3984034,254.1100467,261.063785,269.0483255,277.7137072,286.7934969,296.2558411,306.1614486,316.4370717,327.0117212,337.8351246,348.8475857,360.0464174,371.5070872,383.3450545,395.6399533,408.4112928,421.6125389,435.17831,449.0100078,463.0366433
