Year_HS,Overall rank_HS,Country or region_HS,Score_HS,GDP per capita_HS,Social support_HS,Healthy life expectancy_HS,Freedom to make life choices_HS,Generosity_HS,Perceptions of corruption_HS,Dystopia.Residual_HS,Country & Year,SPI Rank_SP,Country_SP,SPI country code_SP,SPI year_SP,Status_SP,Social Progress Index_SP,Basic Human Needs_SP,Foundations of Wellbeing_SP,Opportunity_SP,Nutrition and Basic Medical Care_SP,Water and Sanitation_SP,Shelter_SP,Personal Safety_SP,Access to Basic Knowledge_SP,Access to Information and Communications_SP,Health and Wellness_SP,Environmental Quality_SP,Personal Rights_SP,Personal Freedom and Choice_SP,Inclusiveness_SP,Access to Advanced Education_SP,Undernourishment (% of pop.)_SP,"Deaths from infectious diseases (deaths/100,000)_SP",Child stunting (% of children)_SP,"Maternal mortality rate (deaths/100,000 live births)_SP","Child mortality rate (deaths/1,000 live births)_SP","Unsafe water, sanitation and hygiene attributable deaths (per 100,000 pop.)_SP",Populations using unsafe or unimproved water sources (%)_SP,Populations using unsafe or unimproved sanitation (%)_SP,Usage of clean fuels and technology for cooking (% of pop.)_SP,Access to electricity (% of pop.)_SP,"Household air pollution attributable deaths (deaths/100,000)_SP","Traffic deaths (deaths/100,000)_SP",Political killings and torture (0=low freedom; 1=high freedom)_SP,Perceived criminality (1=low; 5=high)_SP,"Homicide rate (deaths/100,000)_SP",Access to quality education (0=unequal; 4=equal)_SP,Women with no schooling_SP,Gender parity in secondary attainment (distance from parity)_SP,Primary school enrollment (% of children)_SP,Secondary school attainment (% of population)_SP,Access to online governance (0=low; 1=high)_SP,Media censorship (0=frequent; 4=rare)_SP,Internet users (% of pop.)_SP,Mobile telephone subscriptions (subscriptions/100 people)_SP,Access to quality healthcare (0=unequal; 4=equal)_SP,Access to essential services  (0=none; 100=full coverage)_SP,"Premature deaths from non-communicable diseases (deaths/100,000)_SP",Life expectancy at 60 (years)_SP,Greenhouse gas emissions (total CO2 equivalents)_SP,Particulate matter _SP,Biome protection_SP,"Outdoor air pollution attributable deaths (deaths/100,000)_SP",Political rights (0=no rights; 40=full rights)_SP,Freedom of expression (0=no freedom; 1=full freedom)_SP,Freedom of religion (0=no freedom; 4=full freedom)_SP,Access to justice (0=non-existent; 1=observed)_SP,Property rights for women (0=no right; 5=full rights)_SP,Vulnerable employment (% of employees)_SP,Corruption (0=high; 100=low)_SP,Early marriage (% of women)_SP,Satisfied demand for contraception (% of women)_SP,Equality of political power by socioeconomic position (0=unequal power; 4=equal power)_SP,Equality of political power by social group (0=unequal power; 4=equal power)_SP,Equality of political power by gender (0=unequal power; 4=equal power)_SP,Discrimination and violence against minorities (0=low; 10=high)_SP,Acceptance of gays and lesbians (0=low; 100=high)_SP,Quality weighted universities (points)_SP,Citable documents_SP,Women with advanced education (%)_SP,Years of tertiary schooling_SP
2019,15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,3.444,2019United Kingdom,19.0,United Kingdom,GBR,2019,Ranked,88.83,94.47,90.46,81.56,98.22,99.79,97.64,82.21,93.6,96.36,83.54,88.35,94.34,87.54,63.65,80.72,2.5,27.2768,2.884,7.742,4.3327,0.188,0.323,0.215,95.0,100.0,12.606,3.422,0.92,3.0,1.2034,3.136,0.0071,0.0329,99.5696,84.0,0.9762,3.616,94.62,118.5398,3.568,91.157,225.658,23.7815,495.0,10.366,16.7218,16.1459,39.0,0.969,3.781,0.918,4.594,13.054,80.0,2.4237,86.3,2.477,2.919,2.547,6.4,0.78,342.8,2.6917,0.7763,2.9072
2019,16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,3.345,2019Ireland,12.0,Ireland,IRL,2019,Ranked,90.16,96.03,90.31,84.12,98.57,99.32,98.12,88.13,95.76,90.9,84.56,90.01,94.29,87.07,77.14,78.0,2.5,19.5706,2.621,3.696,3.7332,0.143,0.266,1.911,95.0,100.0,10.076,3.398,0.89,2.0,0.8626,3.541,0.0038,0.0452,99.9713,88.3,0.8571,3.767,84.114,103.063,3.208,94.747,195.944,24.2088,62.3,8.132,14.0917,13.3661,39.0,0.969,3.443,0.965,4.757,10.701,73.0,1.0408,87.4,3.028,3.259,2.338,1.0,0.82,36.6,2.7828,0.8379,3.5561
2019,17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,3.523,2019Germany,11.0,Germany,DEU,2019,Ranked,90.38,96.08,88.42,86.65,98.9,99.55,97.37,88.49,97.08,87.97,83.11,85.5,96.6,90.39,76.27,83.35,2.5,15.1994,1.049,7.88,3.7402,0.196,0.304,1.033,95.0,100.0,14.058,4.39,0.95,2.0,0.9836,3.477,0.0065,0.0062,99.4707,96.5,0.75,3.72,84.3955,132.7149,3.769,90.936,242.105,23.2946,919.0,11.884,17.0,17.8235,39.0,0.966,3.774,0.983,4.827,5.653,80.0,1.8461,90.9,3.16,3.453,3.16,4.6,0.73,275.0,1.9926,0.9075,3.2649
2019,18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,3.59,2019Belgium,16.0,Belgium,BEL,2019,Ranked,89.33,93.97,89.2,84.83,98.4,99.58,97.46,80.44,95.26,86.88,85.47,89.19,96.21,87.79,74.56,80.75,2.5,24.902,2.652,6.657,3.7646,0.285,0.304,0.874,95.0,100.0,13.566,6.929,0.95,3.0,1.6901,3.706,0.0106,0.0519,99.7241,84.4,0.6548,3.888,87.6797,99.453,3.708,93.671,215.15,24.0495,117.0,12.743,17.0,17.1998,39.0,0.974,3.677,0.974,4.852,10.239,75.0,2.1096,90.0,3.176,3.274,2.911,4.7,0.78,45.2,2.7711,0.8748,3.8723
2019,19,United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,3.699,2019United States,27.0,United States,USA,2019,Ranked,85.77,91.99,83.69,81.63,97.58,98.96,97.86,73.54,93.35,93.35,75.89,72.16,91.67,85.36,59.0,90.51,2.5,21.5893,2.34,29.709,6.6402,0.283,0.319,2.956,95.0,100.0,11.443,12.177,0.91,3.0,5.3168,2.497,0.0037,0.0032,99.6104,95.3,1.0,3.216,87.2661,123.0448,2.378,87.898,284.937,23.2958,6550.0,7.322,9.1447,15.0418,33.0,0.938,3.786,0.915,4.699,3.861,71.0,3.5433,82.1,2.02,2.615,2.43,6.1,0.75,1092.6,1.8145,0.901,3.9978
2019,23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,3.8310000000000004,2019Mexico,62.0,Mexico,MEX,2019,Ranked,73.14,82.46,75.16,61.8,92.14,93.97,90.72,53.02,80.86,78.39,64.9,76.5,75.94,63.25,49.36,58.64,6.7,34.405,13.027,44.454,13.423,2.739,6.619,11.225,84.0,100.0,35.579,15.679,0.54,4.0,25.709,1.135,0.0231,0.0525,99.2712,59.3,0.8214,2.902,63.8522,91.6267,1.293,70.645,274.242,21.9216,735.0,20.775,13.6586,29.9877,27.0,0.845,3.83,0.333,4.577,26.833,28.0,15.0566,81.0,1.908,2.753,1.55,6.6,0.58,156.2,0.1883,0.3288,2.0976
2019,24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,3.345,2019France,18.0,France,FRA,2019,Ranked,88.95,94.46,90.87,81.53,98.46,99.49,98.39,81.51,94.38,90.41,88.57,90.13,93.04,87.59,65.01,80.47,2.5,14.2772,2.81,7.151,4.0791,0.126,0.511,1.089,95.0,100.0,8.63,5.388,0.93,3.0,1.2708,3.522,0.0063,0.0584,99.9245,83.2,0.9048,3.58,80.5025,106.4394,3.794,93.774,205.472,25.6837,471.0,11.684,16.9947,10.9168,38.0,0.96,3.51,0.942,4.64,7.447,72.0,2.4345,90.9,2.516,2.846,3.059,7.0,0.73,230.8,1.6617,0.8338,3.1744
2019,26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,3.555,2019Chile,32.0,Chile,CHL,2019,Ranked,83.73,90.84,82.96,77.39,96.96,96.51,96.34,73.55,85.51,90.34,75.7,80.29,93.26,80.23,58.99,77.08,3.3,28.3615,3.817,22.192,7.4259,0.921,3.577,7.236,95.0,100.0,19.571,10.954,0.83,3.0,4.2176,1.305,0.0088,0.0235,97.7301,80.6,0.8571,3.751,82.3275,124.5945,2.451,80.964,232.521,23.4805,112.0,20.931,10.3339,20.1052,37.0,0.957,3.844,0.886,4.652,22.848,67.0,5.2801,84.4,2.516,2.24,1.861,3.0,0.59,51.8,0.7478,0.7465,4.3278
2019,27,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,3.633,2019Guatemala,109.0,Guatemala,GTM,2019,Ranked,61.59,68.01,69.99,46.76,76.12,71.05,75.39,49.49,68.45,70.97,59.68,80.85,64.66,55.46,33.04,33.9,16.1,117.5328,46.611,108.367,27.0782,22.152,42.432,35.949,46.0,93.3,58.457,16.982,0.69,5.0,26.0716,0.605,0.1414,0.0323,88.3077,37.8,0.5,2.451,65.0,118.1585,1.02,62.086,285.442,20.9802,33.9,23.887,13.0192,22.8094,22.0,0.726,3.634,0.253,3.683,37.576,27.0,19.9687,68.7,1.624,0.66,2.135,9.1,0.31,2.6,0.0169,0.1768,1.3418
2019,30,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,3.214,2019Spain,20.0,Spain,ESP,2019,Ranked,88.68,95.21,89.9,80.93,98.97,99.68,98.26,83.93,90.63,90.07,87.78,91.12,95.31,80.66,68.84,78.9,2.5,13.8046,1.423,5.177,3.1181,0.116,0.44,0.507,95.0,100.0,9.294,4.023,0.95,3.0,0.6581,3.509,0.046,0.0696,97.4691,74.8,0.8452,3.603,84.6022,112.5612,3.675,93.785,191.275,25.2496,330.0,9.62,17.0,11.8373,39.0,0.945,3.695,0.958,4.827,11.002,58.0,3.6454,83.2,2.649,3.255,2.745,6.1,0.83,126.2,1.8858,0.6326,4.0456
